num_of_strings,cred_vars_present,wordcount,open_present,popen_present,system_present,exec_present,eval_present,input_present,hardcoded_address_present,parses_yaml,is_conditional,num_of_invocations
0,0,1,0,0,0,0,0,0,0,0,0,1,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
1,0,6,0,0,0,0,0,0,0,0,0,0,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
1,0,6,0,0,0,0,0,0,0,0,0,0,none
0,0,7,0,0,0,0,0,0,0,0,0,0,none
1,0,6,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
1,0,4,0,0,0,0,0,0,0,0,0,1,none
1,0,10,0,0,0,0,0,0,0,0,0,0,none
0,0,3,0,0,0,0,0,0,0,0,0,1,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,7,0,0,0,0,0,0,0,0,0,0,none
1,0,3,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,5,0,0,0,0,0,0,0,0,0,0,none
0,0,3,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,5,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,8,0,0,0,0,0,0,0,0,0,0,none
0,0,4,0,0,0,0,0,0,0,0,1,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,8,0,0,0,0,0,0,0,0,0,0,none
0,0,3,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,6,0,0,0,0,0,0,0,0,0,0,none
0,0,4,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,10,0,0,0,0,0,0,0,0,0,0,none
0,0,4,0,0,0,0,0,0,0,0,1,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,6,0,0,0,0,0,0,0,0,0,0,none
1,0,6,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,1,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,7,0,0,0,0,0,0,0,0,0,0,none
2,0,6,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,8,0,0,0,0,0,0,0,0,0,0,none
0,0,3,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,7,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,4,0,0,0,0,0,0,0,0,0,0,none
0,0,4,0,0,0,0,0,0,0,0,1,0,none
1,0,3,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,4,0,0,0,0,0,0,0,0,0,0,none
0,0,1,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,1,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,1,8,0,0,0,0,0,0,0,0,0,0,none
1,0,5,0,0,0,0,0,1,0,0,0,1,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,5,0,0,0,0,0,0,0,0,0,0,none
0,0,3,0,0,0,0,0,0,0,0,1,1,none
1,0,4,0,0,0,0,0,0,0,0,0,1,none
0,0,1,0,0,0,0,0,0,0,0,0,0,none
0,0,4,0,0,0,0,0,0,0,0,1,1,none
1,0,5,0,0,0,0,0,0,0,0,0,1,none
0,0,1,0,0,0,0,0,0,0,0,0,0,none
0,0,4,0,0,0,0,0,0,0,0,1,0,none
1,0,6,0,0,0,0,0,0,0,0,0,1,none
0,0,1,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,7,0,0,0,0,0,0,0,0,0,0,none
0,0,3,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,11,0,0,0,0,0,0,0,0,0,0,none
0,0,5,0,0,0,0,0,0,0,0,1,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,8,0,0,0,0,0,0,0,0,0,0,none
0,0,3,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,3,0,0,0,0,0,0,0,0,0,0,none
1,0,2,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,6,0,0,0,0,0,0,0,0,0,0,none
2,0,7,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,8,0,0,0,0,0,0,0,0,0,0,none
0,0,4,0,0,0,0,0,0,0,0,1,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
1,0,4,0,0,0,0,0,0,0,0,0,0,none
1,0,3,0,0,0,0,0,0,0,0,0,0,none
0,0,2,0,0,0,0,0,0,0,0,0,0,none
0,0,2,0,0,0,0,0,0,0,0,0,0,none
0,0,4,0,0,0,0,0,0,0,0,0,0,none
0,0,2,0,0,0,0,0,0,0,0,0,1,none
1,0,3,0,0,0,0,0,0,0,0,0,1,none
0,0,3,0,0,0,0,0,0,0,0,0,0,none
1,0,2,0,0,0,0,0,0,0,0,0,1,none
0,0,2,0,0,0,0,0,0,0,0,0,1,none
1,0,1,0,0,0,0,0,0,0,0,0,1,none
1,0,11,0,0,0,0,0,0,0,0,0,1,none
1,0,6,0,0,0,0,0,0,0,0,0,0,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
1,0,6,0,0,0,0,0,0,0,0,0,0,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
1,0,1,0,0,0,0,0,0,0,0,0,1,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,2,0,0,0,0,0,0,0,0,0,1,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
0,0,1,0,0,0,0,0,0,0,0,0,0,none
0,0,1,0,0,0,0,0,0,0,0,1,1,none
1,0,1,0,0,0,0,0,1,0,0,0,2,none
1,0,4,0,0,0,0,0,0,0,0,1,0,none
1,1,5,0,0,0,0,0,0,0,0,0,0,none
1,1,5,0,0,0,0,0,0,0,0,0,1,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
1,1,13,0,0,0,0,0,0,0,0,0,0,none
1,1,13,0,0,0,0,0,0,0,0,0,1,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
0,0,1,0,0,0,0,0,0,0,0,0,0,none
2,0,6,0,0,0,0,0,0,0,0,1,0,none
1,1,4,0,0,0,0,0,0,0,0,0,1,none
1,1,4,0,0,0,0,0,0,0,0,0,0,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
0,1,5,0,0,0,0,0,0,0,0,0,0,none
1,1,2,0,0,0,0,0,0,0,0,0,0,none
1,1,1,0,0,0,0,0,0,0,0,0,0,none
0,0,8,0,0,0,0,0,0,0,0,0,0,none
0,0,1,0,0,0,0,0,0,0,0,0,0,none
0,0,3,0,0,0,0,0,0,0,0,0,0,none
1,1,3,0,0,0,0,0,0,0,0,0,1,none
1,0,1,0,0,0,0,0,0,0,0,0,0,none
1,0,2,0,0,0,0,0,0,0,0,0,1,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
1,1,1,0,0,0,0,0,0,0,0,0,2,none
1,1,3,0,0,0,0,0,0,0,0,0,1,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
1,1,1,0,0,0,0,0,0,0,0,0,2,none
1,1,3,0,0,0,0,0,0,0,0,0,1,none
1,1,1,0,0,0,0,0,0,0,0,0,2,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
1,1,2,0,0,0,0,0,0,0,0,0,1,none
1,1,6,0,0,0,0,0,0,0,0,0,0,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
0,0,1,0,0,0,0,0,0,0,0,0,0,none
0,0,1,0,0,0,0,0,0,0,0,0,0,none
1,0,3,0,0,0,0,0,0,0,0,0,1,none
0,0,1,0,0,0,0,0,0,0,0,0,0,none
0,0,9,0,0,0,0,0,0,0,0,0,0,none
0,1,11,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,2,0,0,0,0,0,0,0,0,0,1,none
0,0,3,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
4,0,16,0,0,0,0,0,0,0,0,0,0,none
2,0,8,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
1,0,12,0,0,0,0,0,0,0,0,0,1,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,4,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
1,0,7,0,0,0,0,0,1,0,0,0,2,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,7,0,0,0,0,0,0,0,0,1,1,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,1,0,0,0,0,0,0,0,0,0,0,none
1,0,7,0,0,0,0,0,0,0,0,0,1,none
0,0,3,0,0,0,0,0,1,0,0,0,2,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,4,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
1,0,6,0,0,0,0,0,1,0,0,0,2,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,7,0,0,0,0,0,0,0,0,1,1,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,1,0,0,0,0,0,0,0,0,0,0,none
1,0,7,0,0,0,0,0,0,0,0,0,1,none
1,0,6,0,0,0,0,0,1,0,0,0,2,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,4,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
1,0,6,0,0,0,0,0,1,0,0,0,2,none
0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,7,0,0,0,0,0,0,0,0,1,1,none
0,0,1,0,0,0,0,0,0,0,0,0,1,none
